dataset,resource,column,field
tree-preservation-order,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,Description,notes
tree-preservation-order,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,Location,address-text
tree-preservation-order,10a1d54078c8dddf5a75e745bc78ec0febe6d8b074043814d580897188068230,TPO,reference
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,Location,address-text
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,Made_date,start-date
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,Species,tree-species-list
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,TPO_docume,document-url
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,TPO_number,reference
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,TPO_type,tree-preservation-type
tree-preservation-order,20ab1d84c669217e70328f90d2379c75c59a3889945bfba4941090021ab2214f,Varied_dat,entry-date
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,Location,address-text
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,Made_date,start-date
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,Species,tree-species-list
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,TPO_docume,document-url
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,TPO_number,reference
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,TPO_type,tree-preservation-type
tree-preservation-order,2c8acd4d9e2920fb257b14ebcfb42344dea71e76572966f47f95641e0984fabe,Varied_dat,entry-date
tree-preservation-order,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,Description,notes
tree-preservation-order,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,Location,address-text
tree-preservation-order,565ccd7f93f479428b2164f3e02e49a454f47721bf418b1a153ac19049ec05ea,TPO,reference
tree-preservation-order,7315d937dcef7d3b9028d71e0ce6cd9b0277e36cb2b69783e1b215a955ce20db,Description,notes
